Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_No auto-budgetSet a fixed amount eve_005aeb""), ""1"", true)",Chrome 120.0.0.0,,,08-01-2024 16:19:57,08-01-2024 16:19:58,0.858s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_auto_budget_amount""), ""45.1"")",Chrome 120.0.0.0,,,08-01-2024 16:19:58,08-01-2024 16:19:58,0.780s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_DailyWeeklyMonthlyQuarterlyEvery hal_69941c""), ""daily"", true)",Chrome 120.0.0.0,,,08-01-2024 16:19:58,08-01-2024 16:19:59,0.843s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:19:59,08-01-2024 16:20:01,1.542s,PASSED
,,,,,,,
Test Cases/Create New Budget/Create New Budget with Integer Value Amount,Chrome 120.0.0.0,,,08-01-2024 16:20:01,08-01-2024 16:20:12,11.646s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:20:01,08-01-2024 16:20:02,0.761s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:20:02,08-01-2024 16:20:03,0.934s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,08-01-2024 16:20:03,08-01-2024 16:20:04,1.860s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Whats playing  Firefly III/a_Budgets""))",Chrome 120.0.0.0,,,08-01-2024 16:20:04,08-01-2024 16:20:07,2.200s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Budgets  Firefly III/a_New budget""))",Chrome 120.0.0.0,,,08-01-2024 16:20:07,08-01-2024 16:20:08,1.007s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_name""), ""Computer"")",Chrome 120.0.0.0,,,08-01-2024 16:20:08,08-01-2024 16:20:08,0.790s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_No auto-budgetSet a fixed amount eve_005aeb""), ""1"", true)",Chrome 120.0.0.0,,,08-01-2024 16:20:08,08-01-2024 16:20:09,0.842s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_auto_budget_amount""), ""22"")",Chrome 120.0.0.0,,,08-01-2024 16:20:09,08-01-2024 16:20:10,0.778s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_DailyWeeklyMonthlyQuarterlyEvery hal_69941c""), ""daily"", true)",Chrome 120.0.0.0,,,08-01-2024 16:20:10,08-01-2024 16:20:11,0.845s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:20:11,08-01-2024 16:20:12,1.574s,PASSED
,,,,,,,
Test Cases/Create New Budget/Create New Budget with Minus Amount,Chrome 120.0.0.0,,,08-01-2024 16:20:13,08-01-2024 16:20:24,11.219s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:20:13,08-01-2024 16:20:13,0.749s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:20:13,08-01-2024 16:20:15,1.386s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,08-01-2024 16:20:15,08-01-2024 16:20:17,1.945s,PASSED
